STN,YYYYMMDD,FHX,FHN,FXX
270,20150922,60,0,100
270,20150923,50,10,80
270,20150924,70,20,120
270,20150925,60,10,90
270,20150926,40,0,70
270,20150927,40,0,70
270,20150928,40,0,70
270,20150929,60,20,90
270,20150930,60,20,90
270,20151001,60,10,90
270,20151002,50,0,80
270,20151003,50,10,60
270,20151004,40,0,80
270,20151005,60,0,110
270,20151006,50,20,80
270,20151007,60,30,100
270,20151008,50,10,90
270,20151009,40,0,70
270,20151010,50,10,80
270,20151011,80,30,140
270,20151012,70,30,110
270,20151013,80,10,120
270,20151014,90,20,130
270,20151015,50,10,80
270,20151016,50,10,80
270,20151017,30,0,60
270,20151018,40,10,70
270,20151019,40,10,60
270,20151020,50,0,100
270,20151021,70,20,120
270,20151022,70,30,140
270,20151023,40,20,70
270,20151024,50,20,90
270,20151025,50,10,90
270,20151026,50,20,80
270,20151027,50,30,80
270,20151028,50,20,80
270,20151029,40,20,70
270,20151030,50,20,80
270,20151031,50,10,90
270,20151101,40,10,50
270,20151102,30,10,50
270,20151103,30,20,60
270,20151104,40,20,80
270,20151105,50,40,90
270,20151106,80,40,150
270,20151107,120,30,200
270,20151108,90,20,150
270,20151109,120,40,190
270,20151110,120,90,190
270,20151111,90,60,150
270,20151112,70,30,120
270,20151113,110,60,210
270,20151114,110,50,180
270,20151115,140,80,200
270,20151116,100,30,160
270,20151117,160,30,230
270,20151118,150,70,240
270,20151119,140,50,200
270,20151120,90,20,150
270,20151121,80,20,190
270,20151122,80,10,190
270,20151123,60,10,100
270,20151124,100,30,180
270,20151125,70,20,140
270,20151126,40,20,90
270,20151127,80,40,140
270,20151128,110,60,180
270,20151129,160,80,280
270,20151130,120,40,210
270,20151201,100,20,140
270,20151202,90,50,140
270,20151203,80,50,130
270,20151204,100,60,160
270,20151205,120,80,180
270,20151206,130,20,200
270,20151207,50,10,70
270,20151208,70,50,110
270,20151209,70,30,120
270,20151210,100,70,160
270,20151211,90,50,130
270,20151212,150,30,220
270,20151213,100,10,170
270,20151214,40,10,70
270,20151215,60,10,90
270,20151216,70,40,110
270,20151217,70,50,120
270,20151218,80,50,120
270,20151219,70,50,110
270,20151220,70,50,140
270,20151221,140,50,250
270,20151222,130,50,200
270,20151223,110,40,170
270,20151224,100,50,170
