countryName,countryCode,GHGT,METH,CO2E,GHGO,NOXE
Jordan,JOR,11599.31658,865.96,10403.279,7.97E-05,629.6565
Kazakhstan,KAZ,372290.9362,69412.5,..,15657.8262,31536.61
Kenya,KEN,38943.126,20324.3,5823.196,2000,9285.616
Kiribati,KIR,39.7799279,10.1507,22.002,4,2.7652279
"Korea, Dem. People’s Rep.",PRK,162999.454,21625.5,..,2525.172,9737.782
"Korea, Rep.",KOR,300501.326,31301.1,246943.114,6165,10535.226
Kosovo,KSV,..,..,..,..,..
Kuwait,KWT,34951.6946,5420.15,48312.725,263.147,592.3976
Kyrgyz Republic,KGZ,33283.18809,5822.7,..,498.53149,2910.8566
Lao PDR,LAO,30128.598,8140.38,212.686,17280.24,4455.537
Latvia,LVA,33667.7706,5468.3,..,5126.7589,3081.1117
Lebanon,LBN,7963.1852,698.063,8214.08,3,371.5722
Lesotho,LSO,1882.4258,1137.7,..,45.5,563.6668
Liberia,LBR,1752.526409,889.681,476.71,163.677839,209.79157
Libya,LBY,61074.1542,16757.7,36780.01,317,1348.7542
Liechtenstein,LIE,..,..,..,..,..
Lithuania,LTU,54344.5327,7602.37,..,5896.9917,5776.571
Luxembourg,LUX,13101.9844,979.375,10003.576,7.1351,397.2743
"Macao SAR, China",MAC,1016.215687,84.9561,1034.094,-4.97E-14,9.184587
"Macedonia, FYR",MKD,14328.5064,1662.29,..,62.5152,822.9012
Madagascar,MDG,48353.24978,17045.9,949.753,21410.76178,9087.402
Malawi,MWI,8537.0945,4047,612.389,1200,2791.1005
Malaysia,MYS,198587.5635,23620,56592.811,105795.6475,13982.116
Maldives,MDV,130.890855,24.8639,143.013,4,5.825055
Mali,MLI,30794.145,9439.27,421.705,15197.76,5773.874
Malta,MLT,2605.29414,183.403,2178.198,0.0133,74.35784
Marshall Islands,MHL,4.91486501,4.8357,47.671,..,0.07916501
Mauritania,MRT,5976.906,3543.17,905.749,120,1490.79
Mauritius,MUS,1576.65897,210.108,1463.133,0.08117,161.3798
Mexico,MEX,494151.02,98920,314291.236,39807.84,44726.18
"Micronesia, Fed. Sts.",FSM,47.63686,21.1901,..,..,6.44676
Moldova,MDA,38029.79932,4085.62,..,22.50372,1756.0756
Monaco,MCO,..,..,..,..,..
Mongolia,MNG,58042.678,8301.04,9988.908,30495.247,5150.991
Montenegro,MNE,..,..,..,..,..
Morocco,MAR,37543.266,9223.91,23542.14,17.5,5700.156
Mozambique,MOZ,40943.06776,11782.7,1023.093,17381.81376,10619.174
Myanmar,MMR,875447.03,83992.9,4275.722,742806,44317.91
Namibia,NAM,7299.9503,3553.45,40.337,40,2547.0003
Nauru,NRU,2.75751563,1.91369,124.678,2.22E-16,0.19262563
Nepal,NPL,25118.3339,20285.7,634.391,180.3249,3591.319
Netherlands,NLD,224468.089,30168.9,158403.399,15056,17937.189
New Caledonia,NCL,1633.16868,201.162,1584.144,7.11E-14,104.41668
New Zealand,NZL,65689.817,26690.4,23545.807,5609.558,10511.759
Nicaragua,NIC,10263.4765,4811.11,2548.565,400,3095.0865
Niger,NER,6929.2769,4462.32,733.4,4.55E-13,1829.2759
Nigeria,NGA,163274.1763,65221.7,38162.469,9375.4023,19488.274
Northern Mariana Islands,MNP,5.1160915,4.78574,..,..,0.3303515
Norway,NOR,67466.0999,14236.8,31510.531,9730.0449,5515.055
Oman,OMN,35356.2927,6167.78,11386.035,13980.0183,388.1944
Pakistan,PAK,172551.2859,90807.8,68565.566,1092.3429,18443.543
Palau,PLW,1.1588785,1.13335,234.688,..,0.0255285
Panama,PAN,6814.4507,2769.23,2768.585,400,1023.3007
Papua New Guinea,PNG,29504.072,2424.4,2141.528,22598.1137,1929.1083
Paraguay,PRY,63833.492,15500.9,2163.53,37128.42,8968.982
Peru,PER,59544.1966,13575.5,21169.591,19348.3396,5609.357
Philippines,PHL,96355.436,41547.7,41763.463,4599.67,9882.366
Poland,POL,474016.0603,107611,368423.49,25372.0803,29250.98
